dropPercentage; killValue;  angle; angularSpeed; currentProjectile; typeMove; typeTiroManager; numberOfShots;    hp; alteredFireRate; displayListModel;
            15;        55;    180;            0;                 3;        0;               0;             0;     4;               0;               11;
            90;       222;    180;            0;                 6;        0;               1;             0;    55;             0.4;               13;
             8;        33;    180;            0;                 5;        4;               1;             0;     1;             1.2;               27;
             6;        22;    180;            0;                 3;        4;               1;             0;     1;             1.2;               28;
            90;       444;    180;            0;                 4;        4;               1;             0;    70;               1;               29;
            50;       111;      0;            0;                 3;        4;               1;             0;    45;             0.3;               33;
            25;        88;      0;            0;                 3;        4;               3;             0;    20;               0;               32;
           100;     10000;      0;            0;                 3;        0;               0;             0;  1000;               0;               41;
             5;        10;      0;            0;                 3;        4;               3;             0;    15;               0;               32;
           100;       777;      0;            0;                 5;       -1;               2;             1;   100;             0.7;               50;
            15;        10;      0;            0;                 5;        4;               1;             0;    22;             0.3;               45;
           100;       666;      0;            0;                 3;       -1;               0;             3;   150;             0.6;               43;
           100;       999;      0;            0;                 4;       -1;               4;             3;   250;               1;               53;
