dropPercentage; killValue;  angle; angularSpeed; currentProjectile; typeMove; typeTiroManager; numberOfShots;    hp; alteredFireRate; displayListModel;      dimensions; velocity; resize
            15;        55;    180;            0;                 3;        0;               0;             0;     4;               0;               11; {20,20,-20,-20};    {1,1};    0.5
            90;       222;    180;            0;                 6;        0;               1;             0;    55;             0.4;               13; {20,20,-20,-20};    {0,0};    0.5
             8;        33;    180;            0;                 5;        4;               1;             0;     1;             1.2;               27; {15,15,-15,-15};  {0.5,1};    0.5
             6;        22;    180;            0;                 3;        4;               1;             0;     1;             1.2;               28; {20,20,-20,-20};  {0.5,1};   0.36
            90;       444;    180;            0;                 4;        4;               1;             0;    70;               1;               29; {20,20,-20,-20};  {0.5,1};    0.9 
            50;       111;      0;            0;                 3;        4;               1;             0;    45;             0.3;               33; {24,24,-24,-24};    {1,1};    0.5
            25;        88;      0;            0;                 3;        4;               3;             0;    20;               0;               32; {17,17,-17,-17};  {0.5,1};    0.5
           100;     10000;      0;            0;                 3;        0;               0;             0;  1000;               0;               41; {50,50,-50,-50};    {0,0};    0.1
             5;        10;      0;            0;                 3;        4;               3;             0;    15;               0;               32;       {0,0,0,0};  {0.5,1};    0.5
           100;       777;      0;            0;                 5;       -1;               2;             1;   100;             0.7;               50; {40,15,-20,-18};    {1,1};    0.5
            15;        10;      0;            0;                 5;        4;               1;             0;    22;             0.3;               45; {24,24,-24,-24};    {1,1};    0.5
           100;       666;      0;            0;                 3;       -1;               0;             3;   150;             0.6;               43; {23,13,-23,-13};    {1,1};    0.5
           100;       999;      0;            0;                 4;       -1;               4;             3;   250;               1;               53; {29,17,-29,-17};    {1,1};    0.5
